figure,scenario,year,label,cost_ntd_per_tco2
B,Reference,2047,Green Hydrogen Truck,22691.78486733727
B,Reference,2048,Green Hydrogen Truck,22323.75480915959
B,Reference,2049,Green Hydrogen Truck,21957.77906279693
B,Reference,2050,Green Hydrogen Truck,21593.840398934983
B,Optimistic,2025,Battery Electric Truck,92884.72214475495
B,Optimistic,2026,Battery Electric Truck,62031.29734619742
B,Optimistic,2027,Battery Electric Truck,44238.017094797666
B,Optimistic,2028,Battery Electric Truck,32460.603521195197
B,Optimistic,2029,Battery Electric Truck,23918.678206590397
B,Optimistic,2030,Battery Electric Truck,17287.560697912002
B,Optimistic,2031,Battery Electric Truck,15159.944611360846
B,Optimistic,2032,Battery Electric Truck,13314.24066701793
B,Optimistic,2033,Battery Electric Truck,11690.887658484693
B,Optimistic,2034,Battery Electric Truck,10245.401324301725
B,Optimistic,2035,Battery Electric Truck,8943.82949114974
B,Optimistic,2036,Battery Electric Truck,8067.956379184815
B,Optimistic,2037,Battery Electric Truck,7271.838687984244
B,Optimistic,2038,Battery Electric Truck,6544.021810946045
B,Optimistic,2039,Battery Electric Truck,5875.107633543479
B,Optimistic,2040,Battery Electric Truck,5257.311335810444
B,Optimistic,2041,Battery Electric Truck,4910.899427184295
B,Optimistic,2042,Battery Electric Truck,4579.45809784556
B,Optimistic,2043,Battery Electric Truck,4261.715302470999
B,Optimistic,2044,Battery Electric Truck,3956.524955861965
B,Optimistic,2045,Battery Electric Truck,3662.8511263250757
B,Optimistic,2046,Battery Electric Truck,3370.1926549927693
B,Optimistic,2047,Battery Electric Truck,3088.1343336899986
B,Optimistic,2048,Battery Electric Truck,2815.8173156974694
B,Optimistic,2049,Battery Electric Truck,2552.4588475041032
B,Optimistic,2050,Battery Electric Truck,2297.3434437777473
B,Optimistic,2025,Blue Hydrogen Truck,397271.4834761312
B,Optimistic,2026,Blue Hydrogen Truck,206439.62671957325
B,Optimistic,2027,Blue Hydrogen Truck,131842.64119293517
B,Optimistic,2028,Blue Hydrogen Truck,91766.8498771761
B,Optimistic,2029,Blue Hydrogen Truck,66520.38102883512
B,Optimistic,2030,Blue Hydrogen Truck,48969.730082416
B,Optimistic,2031,Blue Hydrogen Truck,43094.19720836074
B,Optimistic,2032,Blue Hydrogen Truck,38172.42392079706
B,Optimistic,2033,Blue Hydrogen Truck,33986.26185270311
B,Optimistic,2034,Blue Hydrogen Truck,30379.13888435961
B,Optimistic,2035,Blue Hydrogen Truck,27235.74339715903
B,Optimistic,2036,Blue Hydrogen Truck,24875.53783604398
B,Optimistic,2037,Blue Hydrogen Truck,22763.634878042547
B,Optimistic,2038,Blue Hydrogen Truck,20862.384986615103
B,Optimistic,2039,Blue Hydrogen Truck,19141.367298543988
B,Optimistic,2040,Blue Hydrogen Truck,17575.73338137801
B,Optimistic,2041,Blue Hydrogen Truck,16194.532576001282
B,Optimistic,2042,Blue Hydrogen Truck,14926.283140107167
B,Optimistic,2043,Blue Hydrogen Truck,13757.465877734181
B,Optimistic,2044,Blue Hydrogen Truck,12676.628275883812
B,Optimistic,2045,Blue Hydrogen Truck,11674.003736956794
B,Optimistic,2046,Blue Hydrogen Truck,10750.079486326575
B,Optimistic,2047,Blue Hydrogen Truck,9887.543937576706
